Precinct,Total Voters,Kamala Harris,Kamala %,Donald Trump,Trump %,RFK,RFK%,Ward,shape_area,ward_precinct,shape_leng,precinct,ward,geometry,Kamala
11,947,811,85.64%,129,13.62%,7,0.74%,Ward 1,0.0000267848760273,01011,0.0207431643988,11.0,1.0,"POLYGON ((-87.69207599970758 41.90844199989846, -87.69215299966118 41.912093000091936, -87.68726800011808 41.91213200009179, -87.68712299972663 41.90666599983609, -87.69203899979999 41.90662099955954, -87.69207599970758 41.90844199989846))",85.64
12,510,437,85.69%,64,12.55%,9,1.76%,Ward 1,0.0000178058745294,01012,0.0170571125241,12.0,1.0,"POLYGON ((-87.68717400027987 41.90849200040554, -87.68722099974929 41.910321000214026, -87.68234699981417 41.91039299993707, -87.6822459996531 41.906745999928035, -87.68712299972663 41.90666599983609, -87.68717400027987 41.90849200040554))",85.69
13,734,641,87.33%,87,11.85%,6,0.82%,Ward 1,0.0000333658192672,01013,0.0243358236148,13.0,1.0,"POLYGON ((-87.68449700003646 41.8998759996777, -87.68450999973663 41.90033099997572, -87.68696000030371 41.90029300002196, -87.68712299972663 41.90666599983609, -87.6822459996531 41.906745999928035, -87.6820460003226 41.89946599965623, -87.68448600042854 41.899422000325096, -87.68449700003646 41.8998759996777))",87.33
14,632,550,87.03%,76,12.03%,6,0.95%,Ward 1,0.0000163244708276,01014,0.0164372684371,14.0,1.0,"POLYGON ((-87.6822859996991 41.90817099999168, -87.68234699981417 41.91039299993707, -87.67746300031718 41.9104699998906, -87.67737399981019 41.90714200020318, -87.68225500006815 41.90705299969625, -87.6822859996991 41.90817099999168))",87.03
15,1084,944,87.08%,128,11.81%,12,1.11%,Ward 1,0.000025066026534,01015,0.0244272615667,15.0,1.0,"POLYGON ((-87.68213099974584 41.90261199994387, -87.68225500006815 41.90705299969625, -87.67737399981019 41.90714200020318, -87.67725799985675 41.90319099966494, -87.67482199993532 41.903229999664795, -87.6748050000507 41.90272899994346, -87.67724300006438 41.90269900035861, -87.6772300003642 41.902255999714676, -87.68162899997833 41.90217899976106, -87.68211900009175 41.90217200033758, -87.68213099974584 41.90261199994387))",87.08
16,1015,903,88.97%,105,10.34%,7,0.69%,Ward 1,0.0000253579828435,01016,0.0244013942879,16.0,1.0,"POLYGON ((-87.68205699993058 41.89992300004645, -87.68211900009175 41.90217200033758, -87.6772300003642 41.902255999714676, -87.67724300006438 41.90269900035861, -87.6748050000507 41.90272899994346, -87.67482199993532 41.903229999664795, -87.67359399996309 41.903247000448744, -87.67348899961758 41.89961400018604, -87.6820460003226 41.89946599965623, -87.68205699993058 41.89992300004645))",88.97
17,646,588,91.02%,52,8.05%,6,0.93%,Ward 1,0.0000172206048999,01017,0.0198203539833,17.0,1.0,"POLYGON ((-87.67727199960308 41.90367899968612, -87.67737399981019 41.90714200020318, -87.6774450003864 41.909758000331514, -87.67407399961536 41.9076169996249, -87.67367900028557 41.90795599996949, -87.67266700038175 41.907309999856636, -87.67489599975058 41.90537899984105, -87.67482199993532 41.903229999664795, -87.67725799985675 41.90319099966494, -87.67727199960308 41.90367899968612))",91.02
18,982,855,87.07%,116,11.81%,11,1.12%,Ward 1,0.0000276651095114,01018,0.0289300929726,18.0,1.0,"POLYGON ((-87.66751300012481 41.904016999984606, -87.67367900028557 41.90795599996949, -87.67407399961536 41.9076169996249, -87.6774450003864 41.909758000331514, -87.67746300031718 41.9104699998906, -87.67013399958438 41.910597000351345, -87.67004800011506 41.90757400033988, -87.66760499987083 41.90760499997082, -87.66751300012481 41.904016999984606))",87.07
19,897,760,84.73%,128,14.27%,9,1.00%,Ward 1,0.0000214823291882,01019,0.0204302027937,19.0,1.0,"POLYGON ((-87.66745700024035 41.90698900034214, -87.6675900000784 41.907007000272856, -87.66760499987083 41.90760499997082, -87.67004800011506 41.90757400033988, -87.67013399958438 41.910597000351345, -87.66519200011066 41.910664999889896, -87.66428299956073 41.90940800037895, -87.6628120000737 41.90804599962326, -87.66272699975121 41.90705599983459, -87.66745700024035 41.90698900034214))",84.73
20,895,776,86.70%,108,12.07%,11,1.23%,Ward 1,0.0000190112764663,01020,0.019215181029,20.0,1.0,"POLYGON ((-87.67489599975058 41.90537899984105, -87.67266700038175 41.907309999856636, -87.66751300012481 41.904016999984606, -87.6674950001941 41.90334599961824, -87.67482199993532 41.903229999664795, -87.67489599975058 41.90537899984105))",86.7
